,No.,INSTITUTE NAME AND ADDRESS,DISTRICT,Est. Year,TYPE,ANM,GNM,B.Sc,P.B.Sc,M.Sc,NPM,NPCC,E-mail ID,Phone No.(Office),Phone No.(Principal),Phone No.(FAX),Last Insp. Date,YES/No
0,1.0,"AMC MET College of Nursing, V.S. Hospital, Elisbridge, Ahmedabad ",Ahmedabad,1932,AMC,--,100,50,--,--,--,--,principalvsnschool@gmail.com,"079- 26577621 
to 626 (309)  
","942642826 
9328259403
9913250376
","079-2677647
",26th & 27th June 2018,NO
1,2.0,"ANM School, District Training Center, CHC, At: Bavla ",Ahmedabad,2010,GOV,20,--,--,--,--,--,--,"dtcbavla@yahoo.com
anm.bavla@gmail.com",02714 231450,,,24th May 2018,NO
2,3.0,"ESIC School of Nursing, D-34, Dispensary cum Nursing School, Opp. Municipality Swimming Pool, Khokhra, Ahmedabad -08",Ahmedabad,Re-2005,GOV,--,20,--,--,--,--,--,esicschoolofnursing@gmail.com,079 22721856,,,09-10/06/2014,YES
3,4.0,"Government College of Nursing, Civil Hospital Campus, Asarwa, Ahmedabad - 380016(GINERA)",Ahmedabad,1921,GOV,--,100,60,--,25,20,10,principalgcona@gmail.com,"079-22681406
079 22681005",,,6th & 7th July 2018,NO
4,5.0,"College of Nursing, Government Mental Hospital, Delhi Darwaja, Ahmedabad",Ahmedabad,2017,GOV,--,--,--,--,10,--,--,mentalhospital123@gmail.com,079-256224583,9825011206,,16th & 17th April 2018,NO
5,6.0,"Inst. of Kidney Dises & Research Center, Civil Hospital Campus, Asarwa, Ahmedabad - 16",Ahmedabad,2014,SFI,--,--,--,--,10,--,--,nursing@guts.education,079-22687184,9726315084,,25-26/05/2016,NO
6,7.0,"Ahmedabad Institute of Nursing Science, Nr. Sardar Patel Ring Road, Ognaj Circle, Nr. Ognaj Eye Hospital, Lapkaman, Ahmedabad",Ahmedabad,2007,SFI,--,--,60,--,--,--,--,ains_ahmedabad@yahoo.com,"02717-244134/
                176

","7568701298
8469817116
7567801298
","02717-244124
",15-16/05/2017,NO
7,8.0,"All India Institute of Local Self Government,, Barfiwala Bhavan, Near Bhavan's College,Khanpur, Ahmedabad, ",Ahmedabad,2017,SFI,30,--,--,--,--,--,--,ahmedabad@aiilsg.org,079-25601296,"8141430568
(T)  9426177133",,24th May 2018,NO
8,9.0,"GCS College of Nursing, Opp. DRM Office, Nr. Chamunda Bridge, Naroda Road, Ahmedabad",Ahmedabad,2013,SFI,--,40,60,--,--,--,--,"deangcsmc@gmail.com
principal.nursing@gcsmc.org",079-66048000,"7096969030
9925149143 
(T) 9825009876 ",079-22201915  ,25th & 26th May 2018,NO
9,10.0,"JG College of Nursing, Nr. Gulab Tower, Off Sola Road, Ahmedabad. ",Ahmedabad,2006,SFI,--,40,60,30,23,--,--,jgnursingcollege@gmail.com,"079- 27491290
         27493214    
","9824396284
(T) 9824001212 
","079-27491290

",4th & 5th July 2018,NO
10,11.0,"K. D. Institute of Nursing Science, K.D. Hospital Campus, Vashnodevi Circle, Sardar Patel Ring Road, S. G. Highway, Ahmedabad-382 421",Ahmedabad,2018,SFI,--,60,--,--,--,--,--,nursingschool@kdhospital.co.in,"079-66770200
079-66770201","7698557330
(T) 6359603653
       6359603602",,14th &15th June 2018,NO
11,12.0,"Khyati  School / College of Nursing, Plot No : 116, B/h- Electrotherm Factory,   Nr- Vraj Gopi-2, Palodiya, Silaj, Ahmedabad - 58",Ahmedabad,2016,SFI,--,30,40,--,--,--,--,principal.nursing@khyatifoundation.com,9099285000,"8147250095                   
6353159740
(T)9099285000",,30th & 31st May 2018,NO
